Model,DPO2012
Firmware Version,1.56

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,1e-05,
Sample Interval,1e-09,
Filter Frequency,1e+08,
Record Length,100000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1,1
Label,PPS board#1,PPS board#2
TIME,CH1,CH2
-4.92804e-05,0.04,0.02
-4.92794e-05,0.04,0.02
-4.92784e-05,0.04,0.02
-4.92774e-05,0.08,0.02
-4.92764e-05,0.08,0.02
-4.92754e-05,0.08,0.02
-4.92744e-05,0.04,0.02
-4.92734e-05,0.08,0.02
-4.92724e-05,0.04,0.02
-4.92714e-05,0.08,0.02
-4.92704e-05,0.04,0.02
-4.92694e-05,0.08,0.02
-4.92684e-05,0.08,0.06
-4.92674e-05,0.08,0.06
-4.92664e-05,0.08,0.06
-4.92654e-05,0.08,0.06
-4.92644e-05,0.08,0.06
-4.92634e-05,0.08,0.02
-4.92624e-05,0.08,0.02
-4.92614e-05,0.08,0.02
-4.92604e-05,0.08,0.02
-4.92594e-05,0.08,0.02
-4.92584e-05,0.04,0.02
-4.92574e-05,0.08,0.02
-4.92564e-05,0.04,0.02
-4.92554e-05,0.08,0.06
-4.92544e-05,0.08,0.1
-4.92534e-05,0.08,0.06
-4.92524e-05,0.08,0.02
-4.92514e-05,0.08,0.02
-4.92504e-05,0.04,-0.02
-4.92494e-05,0.04,-0.02
-4.92484e-05,0.04,-0.02
-4.92474e-05,0.04,-0.02
-4.92464e-05,0.04,0.02
-4.92454e-05,0.04,0.06
-4.92444e-05,0.04,0.1
-4.92434e-05,0.08,0.06
-4.92424e-05,0.08,0.1
-4.92414e-05,0.08,0.02
-4.92404e-05,0.04,-0.02
-4.92394e-05,0.08,-0.02
-4.92384e-05,0.04,-0.02
-4.92374e-05,0.04,-0.02
-4.92364e-05,0.04,0.02
-4.92354e-05,0.04,0.02
-4.92344e-05,0.04,0.1
-4.92334e-05,0.12,0.1
-4.92324e-05,0.08,0.1
-4.92314e-05,0.08,0.1
-4.92304e-05,0.08,0.06
-4.92294e-05,0.04,-0.02
-4.92284e-05,0.04,-0.02
-4.92274e-05,0.04,-0.06
-4.92264e-05,0.04,-0.02
-4.92254e-05,0.04,0.02
-4.92244e-05,0.08,0.06
-4.92234e-05,0.12,0.1
-4.92224e-05,0.08,0.14
-4.92214e-05,0.12,0.1
-4.92204e-05,0.08,0.06
-4.92194e-05,0.08,-0.02
-4.92184e-05,0.04,-0.02
-4.92174e-05,0.04,-0.06
-4.92164e-05,0,-0.06
-4.92154e-05,0.04,-0.02
