Model,DPO2012
Firmware Version,1.56

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,1e-05,
Sample Interval,1e-09,
Filter Frequency,1e+08,
Record Length,100000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1,1
Label,PPS board#1,PPS board#2
TIME,CH1,CH2
-4.93648e-05,0.16,0.02
-4.93638e-05,0.12,0.06
-4.93628e-05,0.08,0.1
-4.93618e-05,0.04,0.06
-4.93608e-05,0,0.06
-4.93598e-05,0,0.02
-4.93588e-05,0,0.02
-4.93578e-05,0,0.02
-4.93568e-05,0.08,0.02
-4.93558e-05,0.12,0.02
-4.93548e-05,0.16,0.02
-4.93538e-05,0.12,0.06
-4.93528e-05,0.08,0.06
-4.93518e-05,0.04,0.06
-4.93508e-05,0,0.06
-4.93498e-05,0,0.06
-4.93488e-05,0,0.06
-4.93478e-05,0.04,0.06
-4.93468e-05,0.04,0.06
-4.93458e-05,0.12,0.06
-4.93448e-05,0.12,0.06
-4.93438e-05,0.12,0.02
-4.93428e-05,0.08,0.02
-4.93418e-05,0.08,0.02
-4.93408e-05,0.04,0.02
-4.93398e-05,0,0.02
-4.93388e-05,0,0.02
-4.93378e-05,0.04,0.06
-4.93368e-05,0.04,0.06
-4.93358e-05,0.08,0.06
-4.93348e-05,0.08,0.06
-4.93338e-05,0.12,0.02
-4.93328e-05,0.08,0.02
-4.93318e-05,0.08,0.02
-4.93308e-05,0.04,0.02
-4.93298e-05,0.04,0.02
-4.93288e-05,0.04,0.02
-4.93278e-05,0.04,0.06
-4.93268e-05,0.04,0.06
-4.93258e-05,0.08,0.06
-4.93248e-05,0.08,0.06
-4.93238e-05,0.08,0.02
-4.93228e-05,0.08,0.02
-4.93218e-05,0.08,-0.02
-4.93208e-05,0.08,0.02
-4.93198e-05,0.08,0.02
-4.93188e-05,0.08,0.02
-4.93178e-05,0.08,0.06
-4.93168e-05,0.04,0.06
-4.93158e-05,0.04,0.06
-4.93148e-05,0.04,0.06
-4.93138e-05,0.04,0.02
-4.93128e-05,0.08,0.02
-4.93118e-05,0.08,-0.02
-4.93108e-05,0.08,0.02
-4.93098e-05,0.08,0.02
-4.93088e-05,0.08,0.02
-4.93078e-05,0.08,0.02
-4.93068e-05,0.04,0.06
-4.93058e-05,0.04,0.06
-4.93048e-05,0,0.06
-4.93038e-05,0,0.06
-4.93028e-05,0.04,0.06
-4.93018e-05,0.08,0.02
-4.93008e-05,0.08,0.02
-4.92998e-05,0.08,-0.02
-4.92988e-05,0.08,0.02
-4.92978e-05,0.08,0.02
-4.92968e-05,0.04,0.06
-4.92958e-05,0.04,0.06
-4.92948e-05,0.04,0.06
-4.92938e-05,0.04,0.06
-4.92928e-05,0.04,0.06
-4.92918e-05,0.04,0.06
-4.92908e-05,0.08,0.02
-4.92898e-05,0.08,0.02
-4.92888e-05,0.08,0.02
-4.92878e-05,0.08,0.02
-4.92868e-05,0.08,0.02
-4.92858e-05,0.04,0.02
-4.92848e-05,0.04,0.06
-4.92838e-05,0.04,0.06
-4.92828e-05,0.04,0.06
-4.92818e-05,0.08,0.06
-4.92808e-05,0.08,0.06
-4.92798e-05,0.08,0.02
-4.92788e-05,0.08,0.02
-4.92778e-05,0.04,-0.02
-4.92768e-05,0.04,0.02
-4.92758e-05,0.04,0.02
-4.92748e-05,0.04,0.06
-4.92738e-05,0.04,0.06
-4.92728e-05,0.04,0.06
-4.92718e-05,0.08,0.06
-4.92708e-05,0.08,0.06
-4.92698e-05,0.08,0.06
-4.92688e-05,0.04,0.02
-4.92678e-05,0.04,0.02
-4.92668e-05,0.04,-0.02
-4.92658e-05,0.04,-0.02
-4.92648e-05,0.04,-0.02
-4.92638e-05,0.08,0.02
-4.92628e-05,0.08,0.06
-4.92618e-05,0.08,0.1
-4.92608e-05,0.08,0.1
-4.92598e-05,0.04,0.06
-4.92588e-05,0,0.02
-4.92578e-05,0.04,-0.02
-4.92568e-05,0.04,-0.02
-4.92558e-05,0.08,-0.02
-4.92548e-05,0.08,0.02
-4.92538e-05,0.08,0.02
-4.92528e-05,0.08,0.06
-4.92518e-05,0.08,0.1
-4.92508e-05,0.08,0.1
-4.92498e-05,0.04,0.1
-4.92488e-05,0.04,0.06
-4.92478e-05,0.04,0.02
-4.92468e-05,0.04,-0.06
-4.92458e-05,0.04,-0.02
-4.92448e-05,0.08,-0.02
-4.92438e-05,0.08,0.02
-4.92428e-05,0.12,0.06
-4.92418e-05,0.08,0.1
-4.92408e-05,0.08,0.06
-4.92398e-05,0,0.06
-4.92388e-05,0,0.06
-4.92378e-05,0.04,0.06
-4.92368e-05,0.04,0.02
-4.92358e-05,0.08,0.02
-4.92348e-05,0.08,0.02
-4.92338e-05,0.08,0.02
-4.92328e-05,0.08,0.06
-4.92318e-05,0.08,0.06
-4.92308e-05,0.04,0.06
-4.92298e-05,0.04,0.06
-4.92288e-05,0,0.06
-4.92278e-05,0.04,0.02
-4.92268e-05,0.04,0.02
-4.92258e-05,0.08,0.02
-4.92248e-05,0.08,0.02
-4.92238e-05,0.08,0.02
-4.92228e-05,0.08,0.06
-4.92218e-05,0.04,0.06
-4.92208e-05,0,0.06
-4.92198e-05,0,0.06
-4.92188e-05,0,0.06
-4.92178e-05,0.04,0.02
-4.92168e-05,0.04,0.06
-4.92158e-05,0.08,0.02
